,pl_name,disc_facility,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,st_teff,st_rad,st_mass,sy_vmag,sy_kmag,sy_gaiamag
291,TOI-1803 b,Transiting Exoplanet Survey Satellite (TESS),6.293287,2.99,10.32,0,4687,0.715,0.756,11.871,9.658,11.7705
292,TOI-1803 c,Transiting Exoplanet Survey Satellite (TESS),12.885779,4.29,8,0,4687,0.715,0.756,11.871,9.658,11.7705
294,TOI-1807 b,Transiting Exoplanet Survey Satellite (TESS),0.54937097,1.49681583,2.44,0,4914,0.746,0.8048,10,7.568,9.67517
295,TOI-181 b,Transiting Exoplanet Survey Satellite (TESS),4.532,6.9559,46.1687,0.1543,4994,0.745,0.822,11.191,9.047,11.0857
296,TOI-1811 b,Transiting Exoplanet Survey Satellite (TESS),3.7130765,11.14172682,308.9292116,0.052,4766,0.769,0.817,11.966,9.643,11.7574
297,TOI-1820 b,Transiting Exoplanet Survey Satellite (TESS),4.860674,12.778238,731.0053361,0.043,5734,1.51,1.04,10.899,9.508,10.9653
298,TOI-1823 b,Transiting Exoplanet Survey Satellite (TESS),38.8,7.5406241,67.4,0,4927,0.8049,0.8414,10.728,8.332,10.3908
299,TOI-1824 b,Transiting Exoplanet Survey Satellite (TESS),22.808533,2.7438269,16,0,5165,0.8123,0.8801,9.721,7.757,9.5075
300,TOI-1836 b,Transiting Exoplanet Survey Satellite (TESS),20.380799,8.00321222,38.45723725,0,6380,1.577,1.307,9.765,8.531,9.64482
301,TOI-1836 c,Transiting Exoplanet Survey Satellite (TESS),1.7727471,2.59987579,8,0,6237,1.6454,1.2518,9.765,8.531,9.64482
302,TOI-1842 b,Transiting Exoplanet Survey Satellite (TESS),9.5739181,12.3485023,89.4,0.276,6039,2.032,1.4643,9.815,8.446,9.65981
304,TOI-1853 b,Transiting Exoplanet Survey Satellite (TESS),1.2436258,3.46,73.2,0.03,4985,0.808,0.837,12.178,10.055,11.9474
305,TOI-1855 b,Transiting Exoplanet Survey Satellite (TESS),1.36414864,18.49481816,360.0995851,0.033,5359,1.041,0.987,11.197,9.523,11.1611
309,TOI-1898 b,Transiting Exoplanet Survey Satellite (TESS),45.52234,9.39553231,129,0.485,6241,1.6131,1.2484,7.87,6.663,7.748
310,TOI-1899 b,Transiting Exoplanet Survey Satellite (TESS),29.090312,11.09689089,212.9450327,0.044,3926,0.607,0.632,14.88,10.509,13.5553
