pl_name,disc_facility,sy_vmag,sy_kmag,sy_gaiamag
TOI-5218 b,Transiting Exoplanet Survey Satellite (TESS),16.044,12.546,15.4499
TOI-5232 b,Transiting Exoplanet Survey Satellite (TESS),12.246,10.857,12.168
TOI-5261 b,Transiting Exoplanet Survey Satellite (TESS),12.68,11.156,12.6023
TOI-5293 A b,Transiting Exoplanet Survey Satellite (TESS),16.19,11.639,14.9816
TOI-530 b,Transiting Exoplanet Survey Satellite (TESS),15.403,11.238,14.6439
TOI-5300 b,Transiting Exoplanet Survey Satellite (TESS),13.869,10.568,13.2333
TOI-5301 b,Transiting Exoplanet Survey Satellite (TESS),11.738,10.336,11.5696
TOI-532 b,Transiting Exoplanet Survey Satellite (TESS),14.413,10.587,13.6645
TOI-5322 b,Transiting Exoplanet Survey Satellite (TESS),12.733,10.9,12.4839
TOI-5340 b,Transiting Exoplanet Survey Satellite (TESS),12.399,10.607,12.2074
TOI-5344 b,Transiting Exoplanet Survey Satellite (TESS),15.402,10.86,14.3361
TOI-5350 b,Transiting Exoplanet Survey Satellite (TESS),11.953,9.985,11.7055
TOI-5386 A b,Transiting Exoplanet Survey Satellite (TESS),11.554,10.414,11.7598
TOI-5398 b,Transiting Exoplanet Survey Satellite (TESS),10.059,8.713,9.98233
TOI-5398 c,Transiting Exoplanet Survey Satellite (TESS),10.059,8.713,9.98233
TOI-544 b,Transiting Exoplanet Survey Satellite (TESS),10.777,7.8,10.4143
TOI-5542 b,Transiting Exoplanet Survey Satellite (TESS),12.42,10.897,12.2819
TOI-5573 b,Transiting Exoplanet Survey Satellite (TESS),15.508,11.448,14.6741
TOI-558 b,Transiting Exoplanet Survey Satellite (TESS),11.233,10.262,11.3253
TOI-559 b,Transiting Exoplanet Survey Satellite (TESS),11.091,9.638,10.9777
TOI-5592 b,Transiting Exoplanet Survey Satellite (TESS),12.614,11.363,12.4963
TOI-5616 b,Transiting Exoplanet Survey Satellite (TESS),16.74,12.735,15.6306
TOI-5634 A b,Transiting Exoplanet Survey Satellite (TESS),16.854,12.913,15.9978
TOI-564 b,Transiting Exoplanet Survey Satellite (TESS),11.097,9.604,11.1424
TOI-5678 b,Transiting Exoplanet Survey Satellite (TESS),11.438,9.563,11.1483
TOI-5688 A b,Transiting Exoplanet Survey Satellite (TESS),15.78,11.959,15.324
TOI-5795 b,Transiting Exoplanet Survey Satellite (TESS),10.708,9.168,10.6376
TOI-5800 b,Transiting Exoplanet Survey Satellite (TESS),9.553001,7.191,9.21824
TOI-5817 b,Transiting Exoplanet Survey Satellite (TESS),8.64,7.084,8.48343
TOI-5882 b,Transiting Exoplanet Survey Satellite (TESS),11.315,9.615,11.1063
TOI-6016 b,Transiting Exoplanet Survey Satellite (TESS),11.886,10.224,11.9184
TOI-6029 b,Transiting Exoplanet Survey Satellite (TESS),12.858,10.369,12.2681
TOI-6034 b,Transiting Exoplanet Survey Satellite (TESS),15.189,11.016,14.3143
TOI-6054.01,Transiting Exoplanet Survey Satellite (TESS),8.020001,6.673,7.87799
TOI-6054.02,Transiting Exoplanet Survey Satellite (TESS),8.020001,6.673,7.87799
TOI-6130 b,Transiting Exoplanet Survey Satellite (TESS),11.21,9.655,10.9775
TOI-615 b,Transiting Exoplanet Survey Satellite (TESS),10.825,9.669,10.5775
TOI-622 b,Transiting Exoplanet Survey Satellite (TESS),8.995,7.858,8.89103
TOI-6255 b,Transiting Exoplanet Survey Satellite (TESS),12.747,8.071,11.6345
TOI-628 b,Transiting Exoplanet Survey Satellite (TESS),10.112,8.811,10.0579
TOI-6303 b,Transiting Exoplanet Survey Satellite (TESS),14.639,10.826,13.9114
TOI-6324 b,Transiting Exoplanet Survey Satellite (TESS),13.386,8.691,12.214
TOI-6330 b,Transiting Exoplanet Survey Satellite (TESS),16.33,11.513,14.9341
TOI-6383 A b,Transiting Exoplanet Survey Satellite (TESS),16.63,12.087,15.6628
TOI-640 b,Transiting Exoplanet Survey Satellite (TESS),10.51,9.243,10.4006
TOI-6420 b,Transiting Exoplanet Survey Satellite (TESS),12.994,11.615,12.9023
TOI-654.01,Transiting Exoplanet Survey Satellite (TESS),14.54,9.918,13.4339
TOI-6628 b,Transiting Exoplanet Survey Satellite (TESS),12.9,10.836,12.6408
TOI-6651 b,Transiting Exoplanet Survey Satellite (TESS),10.242,8.684,10.0418
TOI-669 b,Transiting Exoplanet Survey Satellite (TESS),10.606,9.134,10.6364
TOI-6695 b,Transiting Exoplanet Survey Satellite (TESS),10.768,9.512,10.7445
TOI-674 b,Transiting Exoplanet Survey Satellite (TESS),14.203,9.469,13.0914
TOI-677 b,Transiting Exoplanet Survey Satellite (TESS),9.822,8.429,9.66082
TOI-7041 b,Transiting Exoplanet Survey Satellite (TESS),11.251,8.691,10.908
TOI-733 b,Transiting Exoplanet Survey Satellite (TESS),9.44,7.845,9.28881
TOI-757 b,Transiting Exoplanet Survey Satellite (TESS),9.743,7.874,9.55369
TOI-762 A b,Transiting Exoplanet Survey Satellite (TESS),16.0,11.084,14.9535
TOI-763 b,Transiting Exoplanet Survey Satellite (TESS),10.265,8.49,9.99915
TOI-763 c,Transiting Exoplanet Survey Satellite (TESS),10.265,8.49,9.99915
TOI-771 b,Transiting Exoplanet Survey Satellite (TESS),14.888,9.664,13.3671
TOI-776 b,Transiting Exoplanet Survey Satellite (TESS),11.536,7.615,10.7409
TOI-776 c,Transiting Exoplanet Survey Satellite (TESS),11.536,7.615,10.7409
TOI-778 b,Transiting Exoplanet Survey Satellite (TESS),9.109,8.055,8.99436
TOI-782 b,Transiting Exoplanet Survey Satellite (TESS),14.83,9.86,13.5645
TOI-784 b,Transiting Exoplanet Survey Satellite (TESS),9.412,7.64,9.23501
TOI-815 b,Transiting Exoplanet Survey Satellite (TESS),10.217,7.999,9.93978
TOI-815 c,Transiting Exoplanet Survey Satellite (TESS),10.217,7.999,9.93978
TOI-836 b,Transiting Exoplanet Survey Satellite (TESS),9.92,6.804,9.40475
TOI-836 c,Transiting Exoplanet Survey Satellite (TESS),9.92,6.804,9.40475
TOI-849 b,Transiting Exoplanet Survey Satellite (TESS),11.981,10.418,12.0645
TOI-858 B b,Transiting Exoplanet Survey Satellite (TESS),11.183,9.722,11.0695
TOI-892 b,Transiting Exoplanet Survey Satellite (TESS),11.43,10.106,11.3435
TOI-905 b,Transiting Exoplanet Survey Satellite (TESS),11.08,9.448,11.0813
TOI-908 b,Transiting Exoplanet Survey Satellite (TESS),11.316,9.637,11.1061
TOI-954 b,Transiting Exoplanet Survey Satellite (TESS),10.343,8.779,10.2321
WASP-132 c,Transiting Exoplanet Survey Satellite (TESS),11.938,9.674,11.7538
WD 1856+534 b,Transiting Exoplanet Survey Satellite (TESS),17.244,15.548,16.958
Wolf 327 b,Transiting Exoplanet Survey Satellite (TESS),13.018,8.435,11.9522
